Time,Time Reference,fc1HighImuValuesAccelX.value,fc1HighImuValuesAccelY.distinct,fc1HighImuValuesAccelZ.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct
1.76514E+12,0.078,8.303590775,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.099,7.906912327,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.119,undefined,-0.163312137,-0.170180798,6.632895947,-0.010736,0.013664001
1.76514E+12,0.132,7.680239201,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.164,7.396897316,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.184,7.566902637,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.204,7.566902637,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.219,undefined,0.970053673,-0.854108453,6.635824203,0.934031963,-0.650991976
1.76514E+12,0.251,7.623570919,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.293,7.340229034,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.313,7.566902637,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.319,undefined,-0.389985323,0.220635056,6.879824162,0.406992018,-0.419679999
1.76514E+12,0.367,7.623570919,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.387,7.623570919,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.419,7.736907482,-1.296678066,2.174714088,6.595808029,-1.339071989,2.677167892
1.76514E+12,0.45,7.680239201,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.484,7.340229034,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.519,undefined,0.120029338,0.367190957,6.68950367,0.369903982,1.088240027
1.76514E+12,0.52,7.850244045,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.552,8.020249367,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.587,7.680239201,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.619,7.056887627,-0.04997557,-1.342628241,7.073072433,0.127856001,-1.521584034
1.76514E+12,0.653,8.303590775,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.687,7.906912327,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.719,undefined,0.346702456,-0.316736698,7.459568024,0.073200002,-0.13078399
1.76514E+12,0.72,8.190254211,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.766,8.643600464,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.786,8.530263901,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.806,8.586932182,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.819,undefined,0.46003902,-0.072476745,7.502511978,0.091744006,-0.040015999
1.76514E+12,0.826,8.360259056,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.853,8.473595619,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.885,8.360259056,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.919,8.530263901,0.120029338,-0.023624778,7.562047958,0.086864002,-0.00488
1.76514E+12,0.953,8.530263901,undefined,undefined,undefined,undefined,undefined
1.76514E+12,0.987,8.530263901,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.019,8.416927338,0.00669271,-0.023624778,7.606944084,0.084912002,0.026352001
1.76514E+12,1.054,8.473595619,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.104,8.643600464,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.119,undefined,0.120029338,0.074079156,7.668432236,0.021472,0.041968003
1.76514E+12,1.124,8.643600464,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.157,8.700268745,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.192,8.700268745,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.219,undefined,0.00669271,0.025227189,7.65476799,0.089791998,0.050751999
1.76514E+12,1.222,8.700268745,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.242,8.700268745,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.262,8.700268745,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.319,undefined,0.346702456,-0.023624778,7.722112179,0.165920004,-0.007808
1.76514E+12,1.324,8.926941872,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.344,8.586932182,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.379,8.926941872,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.411,8.756937027,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.419,undefined,0.290034175,0.074079156,7.733824253,0.192272007,-0.041968003
1.76514E+12,1.461,8.87027359,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.483,8.756937027,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.519,undefined,0.403370738,-0.072476745,7.724063873,0.224480003,-0.082960002
1.76514E+12,1.532,8.643600464,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.552,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.572,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.592,8.813605309,undefined,undefined,undefined,undefined,undefined
1.76514E+12,1.614,8.87027359,undefined,undefined,undefined,undefined,undefined
