time.v,acceleration,time.l,lat. X accel.,lat. Y accel.,time.g,Gyro X,Gyro Y,Gyro Z
0.091,0,0.092,0,0,0.093,0,0,0
0.191,0,0.192,0,0,0.193,0,0,0
0.291,0,0.292,0,0,0.293,0,0,0
0.487,1.04297,0.488,-0.015625,-0.015625,0.488,0,-0.07,0.35
0.534,1.03906,0.534,-0.015625,-0.0117188,0.535,0.14,-0.14,-0.07
0.593,1.03516,0.593,-0.015625,-0.0117188,0.593,0.21,-0.14,-0.28
0.692,1.04297,0.692,-0.015625,-0.015625,0.693,0.14,-0.14,0
0.791,1.04297,0.793,-0.0117188,-0.015625,0.794,0.14,-0.14,-0.14
0.891,1.03906,0.892,-0.015625,-0.015625,0.894,0.07,-0.14,0.07
0.992,1.03906,0.992,-0.0117188,-0.0117188,0.994,0.14,-0.07,-0.21
1.092,1.04297,1.093,-0.0117188,-0.0195312,1.094,0.14,-0.07,0.14
1.191,1.04688,1.192,-0.015625,-0.015625,1.194,0.14,-0.14,-0.14
1.293,1.03906,1.293,-0.015625,-0.0117188,1.294,0.14,-0.14,0
1.392,1.03906,1.393,-0.0117188,-0.0117188,1.393,0,-0.14,-0.21
1.491,1.05078,1.493,-0.0117188,-0.0195312,1.494,0.21,-0.21,0.14
1.591,1.03516,1.593,-0.015625,-0.015625,1.593,0.14,-0.21,-0.21
1.692,1.03125,1.693,-0.015625,-0.0117188,1.693,0.07,-0.07,0.07
1.791,1.03906,1.793,-0.015625,-0.015625,1.794,0.07,-0.21,-0.14
1.891,1.03125,1.892,-0.0195312,-0.015625,1.895,0.07,-0.21,0
1.991,1.03906,1.993,-0.0195312,-0.015625,1.994,0.14,-0.21,-0.21
2.091,1.03516,2.092,-0.015625,-0.0117188,2.094,0.14,-0.07,0.07
2.191,1.03125,2.192,-0.015625,-0.015625,2.193,0.07,-0.14,-0.07
2.291,1.03125,2.294,-0.015625,-0.015625,2.294,0.07,-0.14,0
2.391,1.04297,2.393,-0.0195312,-0.015625,2.394,0.21,-0.07,-0.07
2.493,1.04688,2.493,-0.015625,-0.015625,2.494,0.07,-0.14,0
2.592,1.03906,2.593,-0.015625,-0.015625,2.593,0.14,-0.14,0
2.692,1.04297,2.692,-0.015625,-0.015625,2.693,0.07,-0.14,0
2.792,1.03125,2.793,-0.015625,-0.0195312,2.793,0.07,-0.14,-0.14
2.891,1.03906,2.893,-0.0117188,-0.015625,2.894,0,-0.14,0
2.995,1.04297,2.996,-0.015625,-0.015625,2.996,0.07,-0.07,-0.07
3.091,1.03516,3.093,-0.0117188,-0.015625,3.094,0.07,-0.21,0.07
3.192,1.04688,3.192,-0.015625,-0.0195312,3.194,0.14,-0.07,0
3.292,1.03125,3.293,-0.015625,-0.015625,3.294,0,-0.21,0
3.391,1.03516,3.392,-0.0195312,-0.015625,3.394,0,-0.14,-0.14
3.491,1.03125,3.492,-0.015625,-0.0195312,3.493,0.07,-0.14,0
3.592,1.04688,3.593,-0.015625,-0.015625,3.593,0.21,-0.07,-0.07
3.691,1.02734,3.692,-0.015625,-0.015625,3.694,0.14,-0.14,0
3.791,1.04297,3.793,-0.015625,-0.015625,3.793,0.07,-0.14,-0.07
3.891,1.03906,3.892,-0.0195312,-0.0195312,3.894,0.14,-0.14,0
3.991,1.03906,3.992,-0.0195312,-0.0117188,3.994,0,-0.14,0
4.091,1.04688,4.094,-0.0195312,-0.0195312,4.094,0.07,-0.14,0
4.191,1.03516,4.194,-0.015625,-0.015625,4.194,0.14,-0.14,-0.07
4.291,1.03906,4.292,-0.0195312,-0.015625,4.293,0.21,-0.14,0
4.391,1.04688,4.393,-0.015625,-0.0117188,4.393,0.07,-0.07,0
4.493,1.03125,4.493,-0.015625,-0.0195312,4.494,0.14,-0.21,-0.07
4.592,1.04297,4.592,-0.015625,-0.015625,4.593,0.07,-0.21,0
4.691,1.05469,4.692,-0.015625,-0.0195312,4.694,0.14,-0.07,0
4.791,1.03516,4.793,-0.015625,-0.0117188,4.794,0.14,-0.07,0
4.891,1.03516,4.892,-0.015625,-0.0195312,4.895,0.14,-0.14,0
4.993,1.04297,4.993,-0.015625,-0.015625,4.994,0.21,-0.07,-0.07
5.092,1.03516,5.092,-0.015625,-0.015625,5.093,0.21,-0.14,0
5.191,1.03906,5.192,-0.015625,-0.015625,5.194,0.14,-0.14,-0.07
5.291,1.04297,5.292,-0.015625,-0.015625,5.294,0.07,-0.14,0
5.391,1.03906,5.392,-0.015625,-0.0117188,5.394,0.07,-0.14,-0.07
5.491,1.03906,5.493,-0.015625,-0.0117188,5.494,0.14,-0.14,0
5.592,1.03906,5.592,-0.015625,-0.015625,5.593,0,-0.07,-0.07
5.691,1.03906,5.693,-0.015625,-0.015625,5.694,0.14,-0.14,0
5.792,1.03125,5.793,-0.015625,-0.015625,5.793,0,-0.14,-0.14
5.891,1.03906,5.893,-0.015625,-0.015625,5.894,0.07,-0.21,-0.07
5.991,1.03516,5.994,-0.015625,-0.0117188,5.994,0.14,-0.14,0
6.091,1.03906,6.093,-0.015625,-0.015625,6.094,0.14,-0.14,0
6.191,1.03906,6.193,-0.015625,-0.015625,6.194,0.28,-0.14,0
6.292,1.03125,6.293,-0.015625,-0.015625,6.294,0.14,-0.07,0.07
6.391,1.04297,6.393,-0.015625,-0.015625,6.394,0.14,-0.07,0
6.491,1.03906,6.493,-0.015625,-0.0195312,6.494,0.14,-0.14,0
6.591,1.03906,6.594,-0.015625,-0.0195312,6.594,0.07,-0.14,-0.07
6.692,1.03125,6.693,-0.0117188,-0.0117188,6.694,0.14,-0.07,0
6.792,1.03516,6.793,-0.015625,-0.015625,6.793,0.07,-0.14,0
6.893,1.04297,6.893,-0.015625,-0.015625,6.894,0,-0.14,-0.07
6.991,1.03906,6.994,-0.015625,-0.0195312,6.994,0.07,-0.14,0
7.092,1.04297,7.093,-0.015625,-0.015625,7.094,0.07,-0.14,0
7.193,1.03906,7.19399,-0.015625,-0.015625,7.19399,0.14,-0.21,0
7.292,1.02344,7.29299,-0.015625,-0.0195312,7.29399,0.14,-0.14,0
7.391,1.03906,7.39199,-0.015625,-0.015625,7.39399,0.14,-0.14,-0.07
7.49099,1.04297,7.49199,-0.015625,-0.015625,7.49399,0.21,-0.14,0
7.59099,1.03516,7.59299,-0.015625,-0.0117188,7.59299,0.14,-0.14,0
7.69099,1.04297,7.69199,-0.015625,-0.015625,7.69299,0.14,-0.14,-0.07
7.79199,1.03516,7.79299,-0.0195312,-0.015625,7.79299,0.07,-0.14,0
7.89199,1.04688,7.89199,-0.015625,-0.0117188,7.89299,0.07,-0.14,0.07
7.99099,1.04688,7.99199,-0.0117188,-0.015625,7.99399,0.21,-0.14,0
8.09199,1.03906,8.09199,-0.015625,-0.0195312,8.09299,0.14,-0.14,0
8.19199,1.03125,8.19299,-0.015625,-0.015625,8.19299,0.07,-0.21,0.14
8.29099,1.03906,8.29399,-0.015625,-0.015625,8.29399,0.21,-0.07,0
8.39099,1.03125,8.39299,-0.015625,-0.0117188,8.39299,0.21,0,0
8.49099,1.03906,8.49299,-0.015625,-0.0195312,8.49399,0.07,-0.14,0
8.59099,1.04688,8.59199,-0.015625,-0.015625,8.59399,0.14,-0.14,-0.07
8.69099,1.04688,8.69199,-0.015625,-0.015625,8.693,0.07,-0.07,0
8.792,1.03125,8.793,-0.015625,-0.015625,8.793,0.21,0,0
8.892,1.03125,8.893,-0.0117188,-0.015625,8.894,0.14,-0.14,0
8.992,1.03125,8.992,-0.015625,-0.015625,8.993,0.14,-0.14,-0.07
9.093,1.05078,9.093,-0.0117188,-0.015625,9.094,0.07,-0.07,0
9.192,1.03516,9.193,-0.015625,-0.015625,9.193,0.14,-0.14,0
9.295,1.03125,9.295,-0.015625,-0.015625,9.296,0.21,-0.14,-0.14
9.391,1.04297,9.392,-0.015625,-0.015625,9.394,0.21,-0.14,0
9.491,1.04297,9.494,-0.0117188,-0.0195312,9.494,0,-0.07,-0.07
9.591,1.04297,9.592,-0.0117188,-0.0117188,9.594,0.14,0,0
9.694,1.03906,9.694,-0.015625,-0.015625,9.694,0.07,-0.14,-0.07
9.791,1.02734,9.792,-0.015625,-0.015625,9.793,0.07,-0.14,0
9.893,1.04297,9.893,-0.015625,-0.015625,9.894,0.07,-0.14,0
9.992,1.03125,9.993,-0.015625,-0.015625,9.993,0.14,-0.14,0
10.091,1.05469,10.092,-0.015625,-0.0195312,10.094,0.07,-0.21,0
10.191,1.04297,10.193,-0.015625,-0.015625,10.194,0.14,-0.07,0
10.291,1.03906,10.293,-0.0117188,-0.015625,10.294,0.14,-0.21,-0.07
10.391,1.03125,10.394,-0.015625,-0.015625,10.394,0.07,-0.14,0.07
10.492,1.03906,10.492,-0.015625,-0.0195312,10.493,0.07,-0.07,0
10.591,1.04297,10.594,-0.0117188,-0.0117188,10.594,0.14,-0.07,0
10.691,1.04297,10.693,-0.0117188,-0.0195312,10.694,0.07,-0.14,0
10.792,1.03906,10.792,-0.0117188,-0.015625,10.793,0.14,-0.21,0
10.891,1.03516,10.894,-0.015625,-0.0195312,10.894,0.07,-0.14,-0.07
10.992,1.03516,10.992,-0.015625,-0.015625,10.993,0.14,-0.14,0
11.092,1.04688,11.092,-0.015625,-0.0195312,11.093,0.14,-0.21,-0.14
11.191,1.03516,11.193,-0.015625,-0.015625,11.194,0.14,-0.14,0
11.291,1.04688,11.294,-0.015625,-0.015625,11.294,0.14,-0.14,-0.07
11.394,1.04297,11.394,-0.015625,-0.015625,11.395,0,-0.21,0
11.492,1.04688,11.493,-0.015625,-0.0195312,11.494,0.07,-0.14,-0.07
11.591,1.04297,11.593,-0.015625,-0.0117188,11.593,0.14,-0.21,0
11.691,1.05469,11.692,-0.0117188,-0.015625,11.694,0.07,-0.14,0
11.791,1.03906,11.793,-0.015625,-0.0195312,11.793,0.14,-0.14,0.07
11.892,1.03516,11.893,-0.015625,-0.015625,11.893,0.14,-0.14,-0.14
11.992,1.03516,11.993,-0.015625,-0.015625,11.993,0.28,-0.07,-0.07
12.092,1.04688,12.093,-0.015625,-0.015625,12.093,0.07,-0.14,-0.14
12.191,1.04688,12.193,-0.0117188,-0.015625,12.194,0.07,-0.14,-0.07
12.291,1.03906,12.293,-0.015625,-0.015625,12.294,0.14,-0.07,0
12.392,1.04688,12.393,-0.015625,-0.015625,12.393,0.14,-0.14,0
12.491,1.03516,12.493,-0.015625,-0.0195312,12.494,0.14,-0.21,-0.07
12.592,1.03906,12.592,-0.015625,-0.015625,12.593,0.14,-0.14,-0.07
12.691,1.03906,12.694,-0.015625,-0.0117188,12.694,0.14,-0.14,0
12.791,1.03906,12.793,-0.015625,-0.015625,12.794,0.14,-0.21,0
12.891,1.04297,12.892,-0.015625,-0.015625,12.895,0.14,-0.07,-0.14
12.991,1.03906,12.992,-0.015625,-0.015625,12.993,0.14,-0.21,0.07
13.093,1.04297,13.093,-0.015625,-0.0195312,13.094,0,-0.07,-0.14
13.192,1.04297,13.193,-0.015625,-0.015625,13.193,0.14,-0.14,0
13.291,1.04297,13.292,-0.015625,-0.015625,13.293,0.07,-0.14,0
13.392,1.04688,13.393,-0.0195312,-0.015625,13.393,0.07,-0.14,0.07
13.491,1.03906,13.492,-0.015625,-0.0195312,13.494,0,-0.14,0
13.591,1.03906,13.594,-0.015625,-0.0117188,13.594,0.07,-0.14,0
13.691,1.04297,13.694,-0.015625,-0.015625,13.694,0.14,-0.14,-0.07
13.791,1.03125,13.792,-0.015625,-0.0195312,13.794,0,-0.14,-0.07
13.891,1.04297,13.892,-0.015625,-0.015625,13.894,0.21,-0.07,-0.14
13.991,1.05078,13.993,-0.015625,-0.015625,13.994,0.21,-0.14,0
14.091,1.02734,14.092,-0.015625,-0.0117188,14.094,0.07,-0.07,-0.14
14.192,1.03906,14.194,-0.015625,-0.0195312,14.194,0.14,-0.07,0
14.291,1.04688,14.293,-0.015625,-0.015625,14.294,0.07,-0.14,0
14.391,1.03516,14.394,-0.015625,-0.015625,14.394,0.14,-0.07,0
14.492,1.04297,14.492,-0.0195312,-0.015625,14.493,0.14,-0.14,0
14.592,1.04297,14.592,-0.015625,-0.015625,14.593,0.07,-0.14,0
14.692,1.03906,14.693,-0.015625,-0.015625,14.693,0.07,-0.14,0
14.791,1.03906,14.793,-0.015625,-0.0234375,14.793,0.07,-0.14,0.42
14.891,1.02734,14.894,-0.0117188,-0.015625,14.894,0.07,-0.14,-0.14
14.991,1.03906,14.993,-0.015625,-0.0195312,14.993,0,-0.21,0.07
15.092,1.03516,15.093,-0.0117188,-0.015625,15.093,0,0,-0.07
15.191,1.04297,15.192,-0.0195312,-0.015625,15.193,0,-0.14,0.07
15.291,1.04297,15.294,-0.015625,-0.0117188,15.294,0.14,-0.14,0.07
15.393,1.04688,15.393,-0.015625,-0.015625,15.394,0.21,-0.07,0
15.491,1.04688,15.493,-0.015625,-0.015625,15.493,0.07,-0.14,0
15.594,1.03125,15.594,-0.015625,-0.0195312,15.595,0.14,-0.07,-0.07
15.691,1.03906,15.692,-0.0195312,-0.015625,15.694,0.07,-0.07,0
15.791,1.04297,15.794,-0.015625,-0.015625,15.794,0,-0.21,0.07
15.892,1.04688,15.893,-0.015625,-0.015625,15.893,0,-0.14,0
15.991,1.04297,15.992,-0.015625,-0.0195312,15.994,0.14,-0.14,0
16.091,1.03125,16.094,-0.015625,-0.0117188,16.094,0.14,-0.07,-0.07
16.191,1.03516,16.192,-0.015625,-0.015625,16.194,0.21,-0.14,-0.07
16.292,1.03516,16.293,-0.015625,-0.0195312,16.293,0.21,-0.14,0.14
16.392,1.03906,16.392,-0.015625,-0.015625,16.393,0.14,-0.07,-0.14
16.492,1.03516,16.492,-0.015625,-0.015625,16.493,0.07,-0.14,0
16.592,1.05078,16.592,-0.015625,-0.0117188,16.593,0.07,-0.14,-0.14
16.691,1.03906,16.694,-0.015625,-0.015625,16.694,0.07,-0.07,0
16.791,1.04297,16.793,-0.015625,-0.015625,16.794,0.14,-0.14,0
16.892,1.03125,16.893,-0.015625,-0.015625,16.894,0.14,-0.07,-0.07
16.991,1.04297,16.993,-0.0195312,-0.015625,16.994,0,-0.07,0
17.092,1.04297,17.092,-0.015625,-0.0195312,17.093,0.21,-0.07,-0.14
17.191,1.03125,17.192,-0.015625,-0.015625,17.194,0.14,-0.14,0.07
17.293,1.03516,17.294,-0.015625,-0.015625,17.294,0.14,-0.21,0
17.391,1.03516,17.393,-0.0195312,-0.0117188,17.394,0.21,-0.14,-0.28
17.491,1.04688,17.494,-0.0117188,-0.0195312,17.494,0.21,-0.14,0.07
17.591,1.04297,17.592,-0.015625,-0.015625,17.594,0.14,-0.07,-0.14
17.694,1.03516,17.695,-0.0078125,-0.015625,17.695,0.07,-0.21,0.07
17.792,1.03516,17.792,-0.015625,-0.0117188,17.793,0.07,-0.07,0
17.892,1.03125,17.893,-0.0117188,-0.015625,17.894,0.21,-0.14,0.14
17.991,1.04297,17.993,-0.015625,-0.015625,17.993,0.14,-0.14,-0.07
18.092,1.04297,18.092,-0.0117188,-0.015625,18.094,0.07,-0.07,0
18.191,1.05078,18.192,-0.015625,-0.015625,18.194,0.21,-0.14,0
18.292,1.03906,18.292,-0.0117188,-0.0195312,18.294,0.07,-0.07,0
18.391,1.04297,18.393,-0.0195312,-0.0117188,18.393,0.14,-0.21,0
18.491,1.02344,18.492,-0.015625,-0.015625,18.494,0.21,-0.14,-0.14
18.593,1.03906,18.593,-0.015625,-0.015625,18.594,0.14,-0.14,-0.14
18.691,1.03906,18.693,-0.015625,-0.0195312,18.694,0.07,-0.07,-0.07
18.791,1.04297,18.794,-0.015625,-0.0117188,18.794,0,-0.14,0
18.891,1.03906,18.894,-0.0117188,-0.015625,18.894,0.07,-0.21,-0.07
18.992,1.04297,18.993,-0.0117188,-0.015625,18.993,0.14,-0.21,-0.07
19.091,1.05469,19.093,-0.0078125,-0.015625,19.093,0.07,-0.14,0
19.192,1.03906,19.192,-0.0117188,-0.015625,19.194,0,-0.28,0
19.292,1.03906,19.293,-0.015625,-0.0117188,19.293,0.07,-0.14,0
19.391,1.02734,19.392,-0.015625,-0.0117188,19.393,0.14,-0.21,0.07
19.491,1.01172,19.492,-0.0195312,-0.0273438,19.494,0.07,-0.21,-0.28
19.593,1.05078,19.593,-0.0195312,-0.015625,19.594,0.14,-0.14,-0.07
19.692,1.04297,19.693,-0.015625,-0.0195312,19.694,0.14,-0.14,0.14
19.791,1.03516,19.802,-0.015625,-0.0078125,19.802,0.07,-0.21,-0.42
19.891,1.04688,19.892,-0.0117188,-0.0195312,19.894,0.14,-0.21,-0.28
19.991,1.05078,19.992,-0.015625,-0.0078125,19.994,0.28,-0.14,0.07
20.093,1.03125,20.093,-0.015625,-0.0234375,20.094,0.07,-0.21,-0.28
20.191,1.05078,20.194,-0.015625,-0.015625,20.194,0.21,-0.28,0
20.291,1.04297,20.292,-0.0234375,-0.0234375,20.295,0.07,-0.28,-0.14
20.392,1.05078,20.392,-0.0195312,-0.0117188,20.393,0,-0.21,-0.07
20.491,1.05469,20.492,-0.0234375,-0.015625,20.493,0.21,-0.14,-0.28
20.591,1.03516,20.592,-0.0234375,-0.0117188,20.594,0.07,-0.14,0
20.691,1.03516,20.692,-0.0195312,-0.015625,20.693,0.07,-0.14,-0.07
20.792,1.04688,20.792,-0.0195312,-0.0117188,20.793,0,-0.07,0
20.891,1.03125,20.894,-0.0195312,-0.0234375,20.894,0.07,-0.14,0
20.992,1.03516,20.992,-0.0195312,-0.015625,20.993,0.14,-0.14,0
21.091,1.03125,21.093,-0.015625,-0.015625,21.093,0.07,0,-0.21
21.191,1.03906,21.193,-0.0195312,-0.0117188,21.193,0.14,-0.14,0
21.292,1.03906,21.292,-0.015625,-0.0195312,21.293,0.14,-0.14,0
21.392,1.04297,21.394,-0.0195312,-0.015625,21.394,0.07,-0.14,0
21.491,1.03906,21.494,-0.015625,-0.0195312,21.494,0.14,-0.28,0
21.591,1.04297,21.592,-0.0195312,-0.015625,21.593,0.14,-0.14,0
21.692,1.04297,21.693,-0.015625,-0.0117188,21.693,0.14,-0.14,-0.14
21.792,1.05469,21.793,-0.0234375,-0.0117188,21.793,0.07,-0.21,0
21.899,1.03906,21.899,-0.015625,-0.015625,21.899,0.07,-0.14,0
21.992,1.04688,21.992,-0.0195312,-0.015625,21.993,0.07,-0.14,0
22.092,1.04688,22.093,-0.0195312,-0.0195312,22.093,0.14,-0.14,-0.07
22.192,1.03906,22.192,-0.0195312,-0.015625,22.193,0.07,-0.07,0.07
22.292,1.04297,22.293,-0.0195312,-0.0195312,22.293,0.07,-0.14,-0.14
22.391,1.03125,22.392,-0.0195312,-0.015625,22.394,0.07,-0.14,0
22.492,1.03125,22.492,-0.015625,-0.015625,22.493,0,-0.14,0
22.591,1.04688,22.593,-0.0195312,-0.015625,22.594,0.21,-0.14,0
22.691,1.03906,22.693,-0.0195312,-0.015625,22.694,0.14,-0.07,0
22.791,1.04297,22.793,-0.0195312,-0.015625,22.794,0.07,-0.07,0.14
22.891,1.04297,22.893,-0.015625,-0.015625,22.894,0.14,-0.14,0
22.991,1.03516,22.992,-0.0195312,-0.0195312,22.994,0.07,-0.14,0.07
23.091,1.04297,23.093,-0.0195312,-0.0195312,23.093,0.07,-0.07,0
23.192,1.03516,23.193,-0.015625,-0.015625,23.193,0.07,-0.14,0.07
23.291,1.05859,23.292,-0.015625,-0.0195312,23.295,0.07,-0.14,0
23.392,1.03906,23.393,-0.0195312,-0.015625,23.393,0,-0.07,0.14
23.495,1.03906,23.495,-0.0195312,-0.015625,23.495,0.14,-0.14,0
23.592,1.04297,23.593,-0.015625,-0.015625,23.593,0.14,-0.14,0
23.691,1.04297,23.692,-0.0195312,-0.015625,23.694,0.21,-0.07,0.07
23.792,1.02734,23.792,-0.0195312,-0.0117188,23.793,0.07,-0.07,0.07
23.892,1.04297,23.892,-0.015625,-0.015625,23.893,0.07,-0.07,-0.07
23.992,1.03906,23.992,-0.015625,-0.015625,23.993,0.07,0,0
24.092,1.04297,24.093,-0.0117188,-0.015625,24.093,0.14,-0.07,0
24.192,1.04297,24.193,-0.0195312,-0.015625,24.193,0.21,-0.14,0.07
24.292,1.03906,24.292,-0.015625,-0.015625,24.293,0.14,-0.07,0
24.393,1.05078,24.393,-0.015625,-0.015625,24.394,0,-0.14,0.07
24.491,1.03516,24.492,-0.0117188,-0.0195312,24.493,0.07,-0.21,-0.14
24.592,1.03516,24.592,-0.015625,-0.015625,24.593,0.07,-0.07,0.14
24.691,1.03516,24.693,-0.0117188,-0.0195312,24.693,0,-0.07,0
24.792,1.05469,24.792,-0.015625,-0.015625,24.793,0.07,-0.07,0
24.891,1.04297,24.894,-0.0117188,-0.0195312,24.894,0,-0.14,0
24.991,1.03906,24.993,-0.0117188,-0.0117188,24.994,0,-0.07,0
25.091,1.04688,25.093,-0.0117188,-0.0195312,25.094,0,-0.14,0
25.191,1.04297,25.192,-0.015625,-0.0117188,25.194,0.21,-0.14,0.07
25.291,1.04688,25.292,-0.0117188,-0.015625,25.293,0.14,-0.21,0
25.392,1.03906,25.393,-0.015625,-0.015625,25.393,0.14,-0.07,-0.07
25.491,1.03906,25.492,-0.0117188,-0.0195312,25.493,0.07,-0.14,0
25.591,1.04297,25.592,-0.0117188,-0.015625,25.598,0.14,-0.14,-0.07
25.691,1.03125,25.692,-0.0117188,-0.015625,25.694,0.14,-0.07,0
25.792,1.03906,25.792,-0.015625,-0.015625,25.793,0.07,-0.21,0
25.892,1.04688,25.892,-0.015625,-0.015625,25.893,0.07,-0.14,-0.14
25.993,1.03516,25.993,-0.0117188,-0.0117188,25.993,0.14,-0.14,0
26.091,1.03125,26.092,-0.0117188,-0.015625,26.093,0.07,-0.28,0
26.192,1.03906,26.192,-0.0117188,-0.015625,26.194,0.07,-0.14,-0.14
26.291,1.03125,26.292,-0.0117188,-0.015625,26.294,0.07,-0.07,-0.07
26.394,1.03516,26.395,-0.015625,-0.015625,26.395,0.14,-0.14,0
26.492,1.05469,26.493,-0.0117188,-0.0195312,26.494,0.14,-0.07,0
26.592,1.04297,26.592,-0.015625,-0.015625,26.593,0.07,-0.14,0
26.691,1.04688,26.692,-0.015625,-0.015625,26.694,0.21,-0.28,0
26.792,1.02344,26.792,-0.015625,-0.015625,26.793,0,-0.21,-0.07
26.892,1.04688,26.892,-0.015625,-0.015625,26.893,0,-0.14,-0.14
26.991,1.04297,26.993,-0.015625,-0.015625,26.993,0.07,-0.14,0
27.091,1.03516,27.092,-0.015625,-0.015625,27.094,0.21,0,-0.07
27.191,1.02734,27.192,-0.015625,-0.015625,27.194,0.07,-0.14,0
27.291,1.03125,27.294,-0.015625,-0.015625,27.294,0,-0.14,0
27.392,1.03125,27.392,-0.0117188,-0.015625,27.393,0.14,-0.21,-0.07
27.491,1.03516,27.494,-0.015625,-0.015625,27.494,0.07,-0.14,-0.07
27.593,1.03906,27.593,-0.015625,-0.0117188,27.593,0.14,-0.14,0.07
27.694,1.04297,27.695,-0.015625,-0.0195312,27.697,0.07,-0.07,-0.14
27.792,1.03906,27.792,-0.015625,-0.015625,27.793,0.14,-0.14,-0.07
27.891,1.04297,27.894,-0.015625,-0.015625,27.894,0.07,-0.14,-0.07
27.992,1.03906,27.993,-0.015625,-0.015625,27.993,0.14,-0.14,-0.07
28.092,1.03125,28.092,-0.015625,-0.015625,28.093,0.07,-0.28,-0.07
28.191,1.03906,28.193,-0.015625,-0.0195312,28.194,0.07,-0.07,0
28.293,1.03906,28.293,-0.015625,-0.015625,28.294,0.14,-0.14,0
28.391,1.04688,28.393,-0.015625,-0.0117188,28.394,0.14,-0.21,0
28.491,1.03125,28.493,-0.015625,-0.0195312,28.493,0.07,-0.21,-0.07
28.591,1.03516,28.594,-0.015625,-0.0195312,28.594,0.14,-0.14,0
28.693,1.04688,28.694,-0.015625,-0.015625,28.694,0.07,-0.14,-0.07
28.792,1.03906,28.792,-0.015625,-0.015625,28.793,0.07,-0.14,0
28.892,1.05078,28.893,-0.0195312,-0.015625,28.893,0.14,-0.21,-0.21
28.992,1.03906,28.993,-0.015625,-0.015625,28.993,0.21,-0.14,0
29.091,1.05078,29.093,-0.015625,-0.015625,29.094,0.14,-0.21,0
29.191,1.04297,29.192,-0.015625,-0.015625,29.194,0.14,-0.14,0
29.292,1.03906,29.292,-0.0195312,-0.015625,29.294,0,-0.14,-0.07
29.391,1.04688,29.393,-0.015625,-0.015625,29.394,0.14,-0.14,0
29.491,1.03906,29.492,-0.015625,-0.015625,29.494,0.07,-0.14,-0.07
29.592,1.04297,29.592,-0.015625,-0.0195312,29.593,0.07,-0.14,0
29.692,1.04297,29.693,-0.015625,-0.015625,29.693,0.14,-0.07,-0.14
29.794,1.03516,29.794,-0.015625,-0.015625,29.795,0.14,-0.14,0.07
29.892,1.04297,29.892,-0.0195312,-0.0195312,29.893,0.14,-0.21,-0.07
29.991,1.03906,29.994,-0.015625,-0.015625,29.994,0.07,-0.14,0
30.093,1.02344,30.093,-0.015625,-0.015625,30.094,0.21,-0.07,0
30.192,1.04688,30.192,-0.015625,-0.015625,30.194,0.21,-0.14,0
30.292,1.04297,30.293,-0.0195312,-0.015625,30.293,0.07,-0.14,0
30.391,1.04688,30.392,-0.015625,-0.015625,30.393,0.07,-0.14,0
30.492,1.04688,30.493,-0.015625,-0.015625,30.493,0.14,-0.07,0
30.592,1.03516,30.594,-0.015625,-0.015625,30.594,0.14,-0.14,0
30.692,1.04297,30.692,-0.0195312,-0.015625,30.693,0.07,-0.14,0
30.791,1.01953,30.792,-0.015625,-0.0117188,30.793,0.07,-0.14,0
30.892,1.03906,30.893,-0.015625,-0.015625,30.894,0.14,-0.21,0.07
30.991,1.04297,30.992,-0.015625,-0.015625,30.993,0.21,-0.14,0
31.091,1.04297,31.092,-0.015625,-0.015625,31.093,0.14,-0.14,0
31.191,1.04297,31.192,-0.015625,-0.0195312,31.193,0,-0.07,0
31.292,1.0625,31.293,-0.015625,-0.015625,31.294,0.14,-0.14,0
31.391,1.03906,31.393,-0.015625,-0.015625,31.394,0.14,-0.14,0
31.492,1.04297,31.492,-0.015625,-0.015625,31.494,0.07,-0.07,0
31.591,1.03125,31.592,-0.015625,-0.015625,31.594,0.07,-0.07,-0.07
31.691,1.04297,31.694,-0.015625,-0.015625,31.694,0.07,-0.14,0
31.792,1.04688,31.792,-0.015625,-0.015625,31.793,0.07,-0.21,-0.07
31.891,1.03906,31.893,-0.015625,-0.0195312,31.894,0.14,-0.07,0
31.992,1.03516,31.992,-0.015625,-0.015625,31.993,0,-0.14,0
32.091,1.03906,32.092,-0.015625,-0.0117188,32.094,0.14,-0.14,0
32.192,1.03906,32.193,-0.0117188,-0.015625,32.193,0.07,-0.14,0.07
32.291,1.04688,32.293,-0.015625,-0.015625,32.294,0.14,-0.14,-0.07
32.392,1.03125,32.393,-0.015625,-0.015625,32.393,0.14,-0.14,0
32.491,1.04297,32.494,-0.015625,-0.015625,32.494,0.21,-0.07,0
32.592,1.04297,32.593,-0.015625,-0.015625,32.593,0.07,-0.14,-0.07
32.691,1.03516,32.694,-0.015625,-0.0117188,32.694,0.07,-0.21,-0.14
32.791,1.03906,32.792,-0.015625,-0.015625,32.794,0.14,-0.14,0
32.891,1.02734,32.892,-0.015625,-0.015625,32.893,0.07,-0.14,0
32.992,1.04297,32.992,-0.015625,-0.0195312,32.993,0.07,-0.14,0
33.091,1.03906,33.093,-0.0195312,-0.015625,33.094,0.07,-0.14,0
33.191,1.04297,33.192,-0.015625,-0.015625,33.194,0.14,-0.21,0
33.291,1.03906,33.293,-0.015625,-0.0195312,33.293,0.07,-0.14,-0.14
33.391,1.04688,33.393,-0.015625,-0.0117188,33.394,0.14,-0.21,0
33.491,1.05469,33.492,-0.015625,-0.015625,33.494,0.21,-0.07,0
