# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
101.234,1301.75,-8.334,10.951,0.027,0.763,273.625,0.728,273.626,89.847,7.103,0.763,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
101.66,1298.203,-8.323,10.734,-0.026,0.028,270.669,0.728,270.67,89.846,6.779,0.01,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
102.087,1294.652,-8.334,10.746,0.004,0.054,267.778,0.728,267.779,89.844,6.783,0.054,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
102.512,1291.105,-8.333,10.73,0.114,1.501,264.896,0.728,264.897,89.843,6.76,1.496,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
102.938,1287.57,-8.284,10.301,-0.071,0.84,262.155,0.728,262.156,89.841,6.123,0.837,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
103.366,1284.018,-8.315,10.542,-0.023,0.43,259.458,0.728,259.459,89.839,6.481,0.429,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
103.792,1280.473,-8.324,10.663,0.003,0.421,256.657,0.727,256.658,89.838,6.664,0.421,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
104.217,1276.931,-8.323,10.775,-0.002,0.259,253.784,0.727,253.785,89.836,6.843,0.259,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
104.643,1273.39,-8.324,10.706,0.058,1.072,250.896,0.727,250.897,89.834,6.733,1.071,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
105.068,1269.855,-8.299,10.406,-0.038,0.571,248.13,0.727,248.131,89.832,6.277,0.57,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
105.494,1266.313,-8.316,10.274,0.07,1.293,245.505,0.727,245.506,89.83,6.034,1.291,28.61,-80.597,NaN,NaN,NaN,NaN,0.42,89.917
105.92,1262.783,-8.286,10.583,-6.428e-4,1.256,242.821,0.727,242.822,89.829,6.584,1.256,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
106.347,1259.247,-8.286,10.258,-0.073,0.263,240.126,0.726,240.127,89.827,6.048,0.252,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
106.773,1255.705,-8.317,10.347,0.011,0.47,237.523,0.726,237.524,89.825,6.155,0.47,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
107.198,1252.173,-8.312,10.226,-0.006,0.163,234.95,0.726,234.951,89.823,5.956,0.163,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
107.623,1248.64,-8.315,10.268,0.024,0.656,232.404,0.726,232.406,89.821,6.025,0.656,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
108.048,1245.111,-8.305,10.426,-0.011,0.371,229.787,0.726,229.788,89.819,6.304,0.371,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
108.473,1241.58,-8.309,10.526,0.003,0.351,227.074,0.726,227.075,89.817,6.461,0.351,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
108.897,1238.052,-8.308,10.434,2.569e-4,0.248,224.361,0.726,224.363,89.815,6.312,0.248,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
109.322,1234.525,-8.308,10.371,0.006,0.336,221.704,0.725,221.705,89.813,6.207,0.336,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
109.746,1230.999,-8.306,10.284,0.029,0.783,219.1,0.725,219.101,89.81,6.065,0.782,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
110.171,1227.477,-8.293,10.474,0.028,1.05,216.455,0.725,216.457,89.808,6.397,1.05,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
110.596,1223.956,-8.282,10.743,-0.049,0.243,213.643,0.725,213.644,89.806,6.843,0.238,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
111.021,1220.429,-8.303,10.695,0.005,0.302,210.754,0.725,210.755,89.803,6.742,0.302,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
111.445,1216.908,-8.3,10.613,-0.001,0.037,207.922,0.725,207.923,89.8,6.614,0.037,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
111.869,1213.388,-8.301,10.623,0.007,0.268,205.114,0.724,205.115,89.798,6.629,0.268,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
112.293,1209.87,-8.298,10.55,0.014,0.537,202.328,0.724,202.329,89.795,6.516,0.537,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
112.717,1206.353,-8.292,10.407,-0.011,0.069,199.614,0.724,199.615,89.792,6.288,0.068,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
113.141,1202.836,-8.297,10.393,0.003,0.067,196.953,0.724,196.955,89.789,6.259,0.067,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
113.565,1199.321,-8.295,10.409,0.004,0.115,194.295,0.724,194.297,89.787,6.288,0.115,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
113.988,1195.807,-8.293,10.378,0.037,0.828,191.642,0.724,191.643,89.784,6.239,0.828,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
114.412,1192.298,-8.278,10.159,-0.02,0.46,189.074,0.723,189.075,89.781,5.889,0.46,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
114.836,1188.785,-8.286,10.28,0.127,1.655,186.534,0.723,186.536,89.778,6.084,1.65,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
115.26,1185.286,-8.232,10.667,-0.13,0.171,183.809,0.723,183.81,89.775,6.783,0.111,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
115.686,1181.765,-8.288,10.74,0.066,1.121,180.907,0.723,180.909,89.771,6.83,1.119,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
116.109,1178.263,-8.26,11.026,-0.059,0.076,177.916,0.723,177.918,89.767,7.304,0.047,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
116.534,1174.751,-8.285,11.058,0.02,0.57,174.812,0.723,174.813,89.763,7.323,0.569,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
116.957,1171.247,-8.277,11.213,-0.004,0.421,171.662,0.722,171.664,89.759,7.564,0.421,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
117.38,1167.742,-8.279,11.094,0.018,0.677,168.497,0.722,168.499,89.754,7.386,0.677,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
117.803,1164.241,-8.271,11.282,-0.02,0.03,165.311,0.722,165.313,89.75,7.672,0.022,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
118.227,1160.737,-8.28,11.281,0.008,0.298,162.065,0.722,162.067,89.745,7.663,0.298,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
118.65,1157.237,-8.276,11.194,-0.001,0.051,158.852,0.722,158.853,89.74,7.537,0.051,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
119.072,1153.738,-8.277,11.208,0.016,0.511,155.66,0.722,155.662,89.734,7.558,0.511,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
119.495,1150.241,-8.27,11.059,0.109,1.553,152.511,0.721,152.513,89.729,7.342,1.549,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
119.918,1146.753,-8.224,10.599,-0.11,0.344,149.545,0.721,149.547,89.724,6.687,0.326,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
120.343,1143.247,-8.27,10.549,-2.226e-4,0.179,146.732,0.721,146.734,89.718,6.548,0.179,28.61,-80.598,NaN,NaN,NaN,NaN,0.42,89.917
120.843,1139.112,-8.27,10.494,0.014,0.486,143.48,0.721,143.482,89.712,6.459,0.486,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
121.265,1135.62,-8.264,10.617,-0.004,0.294,140.709,0.721,140.711,89.707,6.664,0.294,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
121.688,1132.128,-8.266,10.696,0.021,0.66,137.867,0.72,137.869,89.701,6.788,0.66,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
122.11,1128.638,-8.257,10.515,-0.011,0.401,135.059,0.72,135.061,89.694,6.51,0.4,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
122.533,1125.148,-8.262,10.624,0.007,0.491,132.272,0.72,132.274,89.688,6.679,0.491,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
122.955,1121.66,-8.259,10.492,-2.303e-4,0.412,129.495,0.72,129.497,89.681,6.472,0.412,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
123.455,1117.53,-8.259,10.621,0.023,0.743,126.208,0.72,126.21,89.673,6.678,0.742,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
123.877,1114.046,-8.249,10.419,-0.005,0.625,123.455,0.72,123.457,89.666,6.364,0.625,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
124.3,1110.561,-8.251,10.584,0.033,0.993,120.711,0.719,120.713,89.659,6.629,0.993,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
124.722,1107.08,-8.237,10.841,0.005,1.01,117.824,0.719,117.826,89.65,7.048,1.01,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
125.145,1103.598,-8.235,10.566,-0.041,0.385,114.934,0.719,114.937,89.642,6.621,0.383,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
125.568,1100.113,-8.252,10.479,0.04,0.939,112.17,0.719,112.172,89.633,6.459,0.938,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
125.989,1096.637,-8.235,10.715,-0.004,0.858,109.362,0.719,109.365,89.623,6.855,0.858,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
126.412,1093.157,-8.237,10.951,-0.006,0.75,106.39,0.719,106.392,89.613,7.217,0.75,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
126.834,1089.679,-8.239,11.164,0.016,0.906,103.276,0.718,103.278,89.601,7.534,0.906,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
127.256,1086.204,-8.232,10.905,-0.038,0.043,100.177,0.718,100.18,89.589,7.151,0.019,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
127.678,1082.725,-8.248,10.922,0.033,0.772,97.156,0.718,97.159,89.577,7.16,0.771,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
128.099,1079.254,-8.234,10.701,-0.023,0.279,94.209,0.718,94.212,89.563,6.835,0.278,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
128.521,1075.778,-8.244,10.634,0.003,0.284,91.351,0.718,91.354,89.55,6.718,0.284,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
128.942,1072.307,-8.243,10.558,0.004,0.322,88.547,0.718,88.55,89.536,6.598,0.322,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
129.363,1068.836,-8.241,10.642,0.008,0.438,85.74,0.717,85.743,89.521,6.734,0.438,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
129.784,1065.367,-8.237,10.524,-0.001,0.314,82.943,0.717,82.947,89.505,6.549,0.314,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
130.205,1061.898,-8.238,10.442,3.979e-4,0.207,80.214,0.717,80.217,89.488,6.417,0.207,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
130.626,1058.431,-8.238,10.389,0.054,1.029,77.531,0.717,77.534,89.47,6.33,1.027,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
131.047,1054.97,-8.215,10.113,-0.026,0.679,74.959,0.717,74.962,89.452,5.897,0.678,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
131.469,1051.502,-8.226,9.958,0.038,1.077,72.532,0.717,72.535,89.434,5.611,1.076,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
131.89,1048.042,-8.21,10.207,-0.055,0.101,70.073,0.716,70.077,89.414,6.065,0.085,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
132.312,1044.574,-8.233,10.247,0.016,0.514,67.508,0.716,67.512,89.392,6.1,0.514,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
132.732,1041.114,-8.226,10.372,-0.01,0.027,64.898,0.716,64.902,89.368,6.317,0.025,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
133.153,1037.653,-8.231,10.369,0.056,1.022,62.243,0.716,62.247,89.341,6.306,1.02,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
133.573,1034.198,-8.207,10.617,-0.018,0.777,59.502,0.716,59.506,89.311,6.735,0.776,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
133.995,1030.738,-8.215,10.833,-0.013,0.538,56.595,0.716,56.6,89.276,7.062,0.538,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
134.415,1027.28,-8.22,10.986,0.051,1.118,53.576,0.715,53.58,89.235,7.288,1.117,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
134.836,1023.829,-8.199,10.664,-0.059,0.114,50.61,0.715,50.615,89.19,6.819,0.097,28.61,-80.599,NaN,NaN,NaN,NaN,0.42,89.917
135.257,1020.369,-8.224,10.657,0.015,0.483,47.746,0.715,47.751,89.142,6.778,0.482,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
135.677,1016.917,-8.217,10.782,0.05,1.08,44.857,0.715,44.862,89.087,6.981,1.079,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
136.097,1013.468,-8.197,10.478,-0.054,0.172,42.019,0.715,42.025,89.025,6.527,0.164,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
136.518,1010.012,-8.219,10.453,0.002,0.041,39.285,0.715,39.291,88.958,6.459,0.041,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
136.938,1006.562,-8.218,10.442,0.003,0.037,36.577,0.714,36.584,88.881,6.441,0.037,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
137.358,1003.114,-8.217,10.431,0.017,0.522,33.877,0.714,33.885,88.792,6.426,0.522,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
137.777,999.667,-8.21,10.562,-0.01,0.096,31.135,0.714,31.143,88.686,6.645,0.095,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
138.197,996.219,-8.214,10.591,0.037,0.822,28.337,0.714,28.346,88.557,6.685,0.821,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
138.617,992.777,-8.199,10.799,2.754e-4,0.78,25.461,0.714,25.471,88.394,7.029,0.78,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
139.037,989.333,-8.198,11.016,-0.028,0.034,22.439,0.714,22.45,88.178,7.357,0.02,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
139.457,985.887,-8.21,11.03,0.009,0.338,19.347,0.713,19.36,87.888,7.365,0.338,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
139.876,982.446,-8.206,10.933,-0.002,0.036,16.289,0.713,16.305,87.493,7.224,0.036,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
140.295,979.005,-8.207,10.924,0.006,0.25,13.263,0.713,13.282,86.922,7.209,0.25,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
140.714,975.566,-8.204,10.853,0.004,0.282,10.264,0.713,10.289,86.026,7.104,0.282,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
141.133,972.128,-8.203,10.929,0.011,0.48,7.262,0.713,7.297,84.394,7.222,0.479,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
141.553,968.692,-8.198,11.059,0.011,0.622,4.193,0.713,4.253,80.355,7.423,0.622,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
141.972,965.257,-8.193,11.233,-0.009,0.378,1.027,0.712,1.25,55.26,7.684,0.377,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
142.391,961.821,-8.197,11.128,0.015,0.614,-2.161,0.712,2.275,288.244,7.526,0.614,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
142.81,958.389,-8.191,10.951,0.055,1.189,-5.259,0.712,5.307,277.71,7.268,1.188,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
143.229,954.961,-8.168,10.609,-0.036,0.78,-8.201,0.712,8.232,274.961,6.771,0.779,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
143.649,951.527,-8.183,10.415,0.021,0.979,-10.977,0.712,11,273.71,6.443,0.979,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
144.068,948.098,-8.174,10.159,-0.043,0.226,-13.591,0.712,13.61,272.997,6.033,0.222,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
144.488,944.666,-8.192,10.229,0.064,1.119,-16.142,0.711,16.157,272.523,6.126,1.117,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
144.906,941.244,-8.165,10.495,-0.036,0.676,-18.803,0.711,18.816,272.166,6.593,0.675,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
145.326,937.814,-8.181,10.687,-0.008,0.49,-21.629,0.711,21.64,271.883,6.877,0.49,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
145.744,934.388,-8.184,10.822,9.367e-4,0.439,-24.551,0.711,24.561,271.659,7.082,0.439,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
146.163,930.964,-8.183,10.943,-0.006,0.133,-27.553,0.711,27.562,271.478,7.265,0.133,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
146.581,927.54,-8.186,10.982,0.01,0.395,-30.603,0.711,30.612,271.33,7.321,0.395,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
146.999,924.119,-8.181,10.869,0.054,1.085,-33.629,0.71,33.637,271.21,7.156,1.084,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
147.417,920.703,-8.159,10.559,0.005,1.099,-36.526,0.71,36.533,271.114,6.703,1.099,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
147.836,917.284,-8.156,10.271,-0.014,0.931,-39.239,0.71,39.246,271.037,6.242,0.931,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
148.255,913.865,-8.162,10.043,-0.032,0.422,-41.774,0.71,41.78,270.974,5.852,0.421,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
148.674,910.445,-8.175,10.158,0.081,1.318,-44.26,0.71,44.266,270.919,6.028,1.315,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
149.092,907.036,-8.142,10.467,-0.014,1.169,-46.894,0.71,46.899,270.867,6.578,1.169,28.61,-80.6,NaN,NaN,NaN,NaN,0.42,89.917
149.511,903.62,-8.147,10.786,-0.045,0.638,-49.756,0.709,49.761,270.817,7.068,0.636,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
149.93,900.202,-8.166,10.628,0.12,1.667,-52.661,0.709,52.666,270.772,6.801,1.663,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
150.348,896.8,-8.116,11.049,-0.108,0.703,-55.649,0.709,55.653,270.73,7.496,0.694,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
150.769,893.379,-8.162,11.281,-0.015,0.345,-58.861,0.709,58.865,270.69,7.788,0.345,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
151.186,889.968,-8.168,11.187,0.022,0.694,-62.085,0.709,62.089,270.654,7.644,0.694,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
151.604,886.561,-8.159,10.985,-0.016,0.323,-65.215,0.709,65.218,270.623,7.354,0.323,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
152.021,883.151,-8.166,10.9,-6.057e-4,0.164,-68.258,0.708,68.262,270.595,7.22,0.164,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
152.439,879.745,-8.166,10.945,0.09,1.334,-71.284,0.708,71.288,270.569,7.288,1.331,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
152.856,876.347,-8.128,10.555,-0.082,0.242,-74.208,0.708,74.211,270.547,6.733,0.227,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
153.274,872.935,-8.163,10.642,0.056,1.054,-77.048,0.708,77.051,270.526,6.828,1.052,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
153.691,869.537,-8.139,10.348,-0.05,0.238,-79.803,0.708,79.806,270.508,6.389,0.233,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
154.109,866.131,-8.16,10.304,0.017,0.563,-82.454,0.708,82.457,270.492,6.292,0.563,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
154.526,862.731,-8.153,10.444,0.089,1.431,-85.125,0.707,85.128,270.476,6.527,1.429,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
154.943,859.339,-8.116,10.798,0.122,2.128,-87.971,0.707,87.974,270.461,7.122,2.124,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
155.362,855.951,-8.065,11.368,-0.205,0.524,-91.14,0.707,91.142,270.444,8.012,0.483,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
155.783,852.535,-8.151,11.288,0.154,1.825,-94.472,0.707,94.475,270.429,7.809,1.818,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
156.2,849.152,-8.087,10.729,0.002,1.795,-97.568,0.707,97.57,270.415,7.051,1.795,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
156.62,845.757,-8.086,10.249,-0.102,1.044,-100.37,0.707,100.372,270.403,6.297,1.039,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
157.039,842.354,-8.129,10.555,-0.05,0.203,-103.105,0.706,103.107,270.393,6.734,0.197,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
157.457,838.957,-8.149,10.624,0.001,0.03,-105.933,0.706,105.935,270.382,6.816,0.03,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
157.873,835.565,-8.149,10.615,0.007,0.285,-108.767,0.706,108.769,270.372,6.803,0.285,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
158.289,832.175,-8.146,10.538,0.028,0.756,-111.573,0.706,111.575,270.362,6.685,0.756,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
158.705,828.788,-8.134,10.332,-0.026,0.043,-114.289,0.706,114.291,270.354,6.37,0.035,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
159.122,825.398,-8.145,10.349,0.003,0.005,-116.946,0.706,116.948,270.346,6.385,0.003,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
159.538,822.011,-8.143,10.347,0.033,0.773,-119.601,0.705,119.603,270.338,6.384,0.772,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
159.954,818.627,-8.129,10.141,-0.024,0.239,-122.189,0.705,122.191,270.331,6.063,0.238,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
160.37,815.24,-8.139,10.209,0.003,0.231,-124.734,0.705,124.736,270.324,6.162,0.231,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
160.786,811.857,-8.138,10.15,0.04,0.881,-127.275,0.705,127.277,270.317,6.066,0.88,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
161.201,808.477,-8.122,10.36,-0.024,0.48,-129.873,0.705,129.874,270.311,6.431,0.48,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
161.618,805.094,-8.132,10.493,0.029,0.865,-132.592,0.705,132.594,270.304,6.631,0.864,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
162.033,801.716,-8.119,10.714,0.052,1.318,-135.423,0.704,135.425,270.298,6.99,1.317,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
162.45,798.341,-8.098,10.348,-0.082,0.199,-138.219,0.704,138.221,270.292,6.443,0.181,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
162.867,794.955,-8.132,10.422,0.002,0.024,-140.922,0.704,140.924,270.286,6.518,0.024,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
163.282,791.578,-8.131,10.428,0.084,1.276,-143.631,0.704,143.633,270.281,6.528,1.273,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
163.697,788.21,-8.096,10.077,-0.069,0.406,-146.232,0.704,146.234,270.276,6,0.4,28.61,-80.601,NaN,NaN,NaN,NaN,0.42,89.917
164.114,784.829,-8.125,10.2,-0.003,0.201,-148.768,0.704,148.769,270.271,6.166,0.201,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
164.529,781.455,-8.126,10.151,0.031,0.767,-151.311,0.704,151.312,270.266,6.083,0.766,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
164.944,778.085,-8.113,10.334,0.014,0.889,-153.901,0.703,153.903,270.262,6.401,0.889,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
165.36,774.714,-8.108,10.563,-0.014,0.671,-156.638,0.703,156.639,270.257,6.77,0.671,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
165.776,771.343,-8.114,10.391,0.038,1.07,-159.394,0.703,159.396,270.253,6.491,1.069,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
166.191,767.977,-8.098,10.662,-0.024,0.772,-162.182,0.703,162.183,270.248,6.935,0.772,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
166.607,764.606,-8.108,10.464,0.015,0.916,-165,0.703,165.001,270.244,6.614,0.916,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
167.022,761.241,-8.102,10.222,-0.037,0.214,-167.668,0.703,167.669,270.24,6.234,0.211,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
167.438,757.871,-8.117,10.288,0.011,0.454,-170.276,0.702,170.277,270.236,6.321,0.454,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
167.852,754.507,-8.112,10.17,-0.005,0.19,-172.857,0.702,172.859,270.233,6.133,0.19,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
168.267,751.143,-8.114,10.124,0.05,0.98,-175.384,0.702,175.386,270.229,6.054,0.979,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
168.681,747.785,-8.094,10.356,-0.037,0.402,-177.977,0.702,177.979,270.226,6.46,0.4,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
169.097,744.42,-8.109,10.472,0.016,0.64,-180.695,0.702,180.696,270.223,6.626,0.64,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
169.511,741.061,-8.103,10.301,-0.002,0.56,-183.386,0.702,183.387,270.219,6.361,0.56,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
169.926,737.701,-8.103,10.16,0.01,0.663,-185.975,0.702,185.976,270.216,6.129,0.663,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
170.34,734.344,-8.099,10.325,-0.017,0.221,-188.572,0.701,188.573,270.213,6.404,0.221,28.61,-80.602,NaN,NaN,NaN,NaN,0.42,89.917
