Time,Time Reference(milisecond),Time Reference(seconds),fc1BaroValuesAltitude.distinct,fc1GpsValuesAltitude.distinct,fc1GpsValuesLongitude.distinct,fc1GpsValuesLatitude.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct,fc1LowImuValuesGyroX.distinct,fc1LowImuValuesGyroY.distinct,fc1LowImuValuesGyroZ.distinct
1.76514E+12,101183,101.183,undefined,882.6830444,-117.8120041,35.34516144,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101186,101.186,undefined,undefined,undefined,undefined,-0.582672,-0.760304034,0.881327987,-355.1099854,-120.3300018,-108.1500015
1.76514E+12,101191,101.191,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101194,101.194,undefined,undefined,undefined,undefined,-0.52313596,-0.877424002,0.766160011,-404.5299988,-105.6299973,-119.9100037
1.76514E+12,101196,101.196,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101201,101.201,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101206,101.20599999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101211,101.211,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101216,101.216,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101218,101.21799999999999,914.2167969,881.9850464,-117.8119965,35.34518051,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101219,101.21900000000001,undefined,undefined,undefined,undefined,0.204960003,-0.882304013,0.211792007,-318.2900085,-76.79000092,-142.8000031
1.76514E+12,101221,101.221,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101226,101.226,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101227,101.227,undefined,undefined,undefined,undefined,0.00976,-0.829600036,0.657824039,-223.3699951,-86.16999817,-166.1799927
1.76514E+12,101231,101.231,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101236,101.236,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101241,101.241,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101246,101.24600000000001,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101249,101.249,undefined,881.2190552,-117.8119965,35.34518051,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101250,101.25,undefined,undefined,undefined,undefined,-0.161040008,-0.722239971,0.088816002,-36.95999908,-89.73999786,-182.1399994
1.76514E+12,101251,101.251,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101256,101.256,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101258,101.25800000000001,undefined,undefined,undefined,undefined,-0.270351976,-0.678319991,0.849120021,44.02999878,-84.20999908,-178.8500061
1.76514E+12,101260,101.26,913.9950562,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101261,101.261,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101266,101.26599999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101271,101.271,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101276,101.276,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,101281,101.28099999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
