time,lat,long,GPS MSL,SVs
274.432,35.346924,-117.80914,639.82904,26
276.391,35.346924,-117.80914,639.83801,26
278.362,35.346924,-117.80914,639.83502,26
280.29,35.346924,-117.80914,639.85205,26
282.241,35.346924,-117.80914,639.87701,26
284.2,35.346925,-117.80914,639.927,26
286.152,35.346925,-117.80914,639.96503,26
288.087,35.346925,-117.80914,639.99103,26
290.04,35.346925,-117.80914,640.03705,26
291.994,35.346925,-117.80914,640.078,25
293.937,35.346925,-117.80914,640.07703,26
295.882,35.346924,-117.80914,640.07001,25
297.851,35.346924,-117.80914,640.06702,26
299.783,35.346923,-117.80914,640.08502,26
301.763,35.346923,-117.80914,640.05902,26
303.708,35.346922,-117.80914,639.99402,26
305.653,35.346922,-117.80914,639.927,26
307.596,35.346921,-117.80914,639.84406,26
309.534,35.346921,-117.80914,639.77905,26
311.516,35.346921,-117.80914,639.67505,26
313.483,35.34692,-117.80914,639.57605,26
315.465,35.34692,-117.80914,639.48602,26
317.399,35.34692,-117.80914,639.40906,26
319.347,35.346919,-117.80914,639.29401,26
321.298,35.346919,-117.80914,639.22406,26
323.254,35.346919,-117.80914,639.12201,26
325.233,35.346919,-117.80914,639.03802,26
327.165,35.346919,-117.80914,638.95801,25
329.129,35.346918,-117.80914,638.86401,26
331.069,35.346918,-117.80914,638.69702,26
333.028,35.346918,-117.80914,638.61005,27
334.982,35.346918,-117.80914,638.50702,27
336.986,35.346918,-117.80914,638.388,27
338.938,35.346918,-117.80914,638.24701,27
340.888,35.346918,-117.80914,638.12402,27
342.836,35.346918,-117.80914,638.04706,27
344.795,35.346918,-117.80914,637.95801,27
346.749,35.346918,-117.80914,637.85101,27
348.723,35.346918,-117.80914,637.74304,27
350.706,35.346918,-117.80914,637.63702,27
352.658,35.346918,-117.80914,637.51605,27
354.595,35.346918,-117.80914,637.388,27
356.57,35.346919,-117.80914,637.29401,27
358.52,35.346919,-117.80914,637.21106,27
360.473,35.346919,-117.80914,637.17804,27
362.425,35.346918,-117.80914,637.14606,27
364.383,35.346918,-117.80914,637.138,27
